Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
BE,2015,-0.16827539826897706,0.4920368770924461,-0.2896371107514892,-0.4491448625701839,0.6133938232563193,0.6520103443735761,0.7058557779592889,-0.12345455985033284,-0.21392121906399192,-0.48504926220886746,-0.8558066889317296,0.6667389596407912,0.6961463226241721,-0.31315114953865636,0.1543818248337774,-0.28016586257559334,-1.5766077553925646,-0.2840248219999673,-0.2760523745164958,0.5683743664609733,0.7087110310289793,-0.24793436066281418,,0.44004895849185716,0.37106932049694225,0.638215907824179,1.2721444537761222,-0.9485075859460574,-0.3276480276804354
BE,2016,-0.19566469701225941,0.42668229793820983,-0.2896019097794673,-0.4491448625701839,0.6541818043825202,0.6868313817401452,0.6034306028822776,-0.10576338643787976,-0.04619624891973307,-0.39491829862570715,-0.683105846492785,0.7065856247741712,0.7336952085389582,-0.3161761873656277,0.23807999243101413,-0.27758411546967765,-1.6024755931193342,-0.28185434486475763,-0.27303937360497954,0.6341705746502674,0.7265412376326945,-0.03231294232400669,,0.6828603532454289,0.5222570403440057,0.7216086531827934,1.2917266663686082,-1.2990433038396318,-0.33929056781639294
BE,2017,-0.20867714060339448,0.27227312740896925,-0.2893473796740787,-0.37591472193374054,0.6824196374698901,0.7356238229883626,0.44979284026676053,-0.0859825399071467,0.03766623615239636,-0.2766898281765416,-0.4931349198099445,0.7190260155317757,0.7820598061574598,-0.32045445514948717,0.36923588392359513,-0.275610968798159,-1.6283434308460998,-0.279980474924154,-0.2709621016128272,0.7187656994650741,0.7800318574438404,0.2434063477928502,0.45296808593908117,0.878977249007929,,,1.2036067097024228,-1.6209629667212495,-0.3497904203636245
BE,2018,-0.20698425959250893,0.15090033755110063,-0.28893204986217613,-0.144019276585004,0.7681136170475333,0.852876143256656,0.29615507765124466,-0.0661542398594636,-0.1971487220495661,-0.17013824369766375,-0.4067844985904722,0.7910493304442231,0.8764421960247891,-0.3125677493863119,0.469328537957406,-0.2732696842804817,-1.6542112685728656,-0.27785451090433094,-0.26839501596411897,0.6341705746502674,0.7265412376326945,0.5362819560355403,,1.0003829463847147,0.8435309450190172,1.0551796346172537,1.0861134341475085,-1.9168721051886655,-0.3592966636964443
BE,2019,-0.22467107612414883,-0.008536108297696382,-0.2883573783721865,-0.02196904219093205,0.880280565144586,0.9569093660061591,0.1937299025742333,-0.041534720789812386,-0.2642387101072697,-0.00009359175534524102,-0.30316399312710646,0.9137695761132243,0.9675594653777891,-0.32097303306268227,0.542672293068389,-0.27047589699356783,-1.6542112685728656,-0.27534925988350045,-0.2652986543133172,0.8879559490946877,0.8513526838587012,0.6982010531402455,,1.364600038515072,0.881327874980783,0.9717868892586384,1.3700555167385506,-2.204647768136866,-0.3684144894286936
BE,2020,-0.25302051633629163,-0.11841798313943544,-0.2876908510912997,-0.1318142531455975,1.002448412460082,1.0696478480973044,-0.06233303511829505,-0.06551394783688477,-0.2474662130928439,0.2454859163072739,-0.4413246670782616,1.0475271609506265,1.0864302591025876,-0.44498878026198213,0.5297292774605682,-0.26823711360168373,-1.680079106299635,-0.27342770361532426,-0.26272722503406964,1.8279017803703186,1.5823911546110279,0.7543397745815672,0.8305765439849001,1.5980725334704295,1.032515594827847,1.0790061332911431,1.4581754734047359,-2.4876036489469393,-0.3773177606768182
BE,2021,-0.23131626576389355,-0.05378158617370688,-0.2868714391153595,0.01464602812728919,1.0152927045935731,1.101674604687544,0.1937299025742333,-0.002692893615002725,-0.31455620115054733,0.507121142579039,-0.30316399312710646,1.0353673805108627,1.1107145929279112,-0.3580945686822305,0.5141976587311831,-0.26609004886681437,-1.6542112685728656,-0.27154299186641856,-0.260304957875894,2.523461695514285,2.0548916296094824,1.172145494964831,0.9249786584963562,1.551378034479358,,,1.50713100488595,-2.7565148233085397,-0.3856528324635368
BE,2022,-0.3022909338172885,-0.05593613273923125,-0.28663627995907165,0.1733113328395824,1.1959952267464298,1.25030884752077,-0.1647582101953064,0.05831263399042184,-0.3313286981649733,0.7235084357159383,-0.09592298220037251,1.1848391431473442,1.2282589314437633,-0.2752517470493155,0.5909928846709194,-0.2618485685228682,-1.6283434308460998,-0.2674726420796368,-0.25588406616362824,2.109885529753008,1.6537119810258887,2.5855990803319364,1.1609839447749928,1.682122631654358,1.259297174598443,1.4721433614103283,1.50713100488595,-3.008120761025626,-0.39389246449697246
BG,2009,-0.4968711825460868,0.5308187152718835,-0.44178466829019297,-0.37591472193374054,-1.3428605022964717,-1.317635185926159,0.5010054278052661,-0.62480123079205,-0.04619624891973307,-0.18765357265309587,-0.5794853410294168,-1.340934327736832,-1.319147279829471,-0.5193074774467529,-3.07533200317101,-0.4529449092348373,1.5792684472730358,-0.45220453898816204,-0.4536568656125796,-1.208123254649969,-1.2526116953797004,-1.0014926414203433,,-0.38177422375100073,-0.9518232281648674,-1.494255723488974,-0.656703486583716,1.6946315505931815,-0.40429687729092095
BG,2010,-0.5132946550397525,0.1458730622315442,-0.44840807485423023,-0.7786804954341785,-1.3169758219663827,-1.2958183014032776,0.04009213995871629,-0.623648202857914,-0.34810119517939914,-0.3857957314614197,-1.4602596374680357,-1.3205433113070741,-1.2969036463256032,-0.5369931450280103,-2.699984550544216,-0.4551485029796622,1.5792684472730358,-0.4544415654344944,-0.4558254462637277,-1.208123254649969,-1.2347814887759854,-0.6542040952164481,,-0.9421082116438584,,,-0.6175390613987445,1.6385141392350981,-0.41276438098335794
BG,2011,-0.5241846806470907,-0.25702714552149775,-0.455463266122417,-0.8885257063888431,-1.3225645597649247,-1.3055982841204314,-0.2671833852723177,-0.6194317133392845,-0.6332336444246393,-0.6065618568371771,-1.9092818278092905,-1.3265296647543423,-1.3074132529811004,-0.5676540641456698,-2.6283665308476114,-0.4572811309362508,1.5534006095462665,-0.4565284813154733,-0.45800604121211197,-1.2175227129627253,-1.2436965920778429,-0.2554465946350721,-1.7182805478243752,-0.5685522197152866,,,-0.6175390613987445,1.585073569637172,-0.42158774918222236
BG,2012,-0.4896701215296334,-0.44949997204166803,-0.46249700354375023,-0.8397056126312145,-1.3380561487503568,-1.312261569048602,-0.3183959728108234,-0.618406770246164,-0.7338686265111944,-0.6532694007183291,-1.94382199629708,-1.339157129057174,-1.3127190738168855,-0.5706899056791661,-2.61973785377573,-0.4591958086557325,1.5792684472730358,-0.4583365952480008,-0.46003248348518777,-1.1987237963372128,-1.2347814887759854,0.0356017134522026,,-0.9047526124510011,-1.0652140180501657,-1.2917304847609092,-0.529419104732559,1.522340192413468,-0.4305465086589999
BG,2013,-0.5159224106387389,-0.6462818916928857,-0.4693674417812662,-0.7908855188735849,-1.3099163636945403,-1.3002246672428743,-0.42082114788783476,-0.6186699456006137,-0.7003236324823426,-0.6955981123606229,-1.840201490833714,-1.3191402597178705,-1.3058827277400087,-0.5623062294158455,-2.5757316007091418,-0.46103527978335807,1.5792684472730358,-0.4600873269268318,-0.4619650294044785,-1.236321629588238,-1.2526116953797004,0.0836191008694624,-1.671079490568649,-0.4284687227420722,-0.7155924159038299,-1.1606847420545143,-0.3727614039926736,1.4943720272138723,-0.4385168378227066
